Variety,ASN_B2,Treatment,Asn
 Buster, Absent,S+,2.108338086
 Charger, Absent,S+,2.253309445
 Claire, Absent,S+,1.708643874
 Delphi, Absent,S+,1.706594732
 Diego, Absent,S+,1.869554187
 Gallant, Absent,S+,1.821936598
 Hereward, Absent,S+,1.964622274
 Invicta, Absent,S+,1.883063553
 Oakley, Absent,S+,1.899327735
 Rialto, Absent,S+,1.843378446
 Robigus, Absent,S+,1.518465067
 Santiago, Absent,S+,1.86060183
 Savannah, Absent,S+,1.758040787
 Scout, Absent,S+,2.683172867
 Shamrock, Absent,S+,1.892123986
 Shango, Absent,S+,1.814844883
 Solstice, Absent,S+,1.970919135
 Spark, Absent,S+,2.049508483
 Tuxedo, Absent,S+,1.904653305
 Warrior, Absent,S+,2.298369595
 Avalon, Present,S+,2.142342807
 Badger, Present,S+,2.418626942
 Cadenza, Present,S+,2.224428436
 Malacca, Present,S+,1.960500896
 Torch, Present,S+,1.881557705
 Buster, Absent,S-,2.650106956
 Charger, Absent,S-,2.755227455
 Claire, Absent,S-,2.086316352
 Delphi, Absent,S-,1.530355406
 Diego, Absent,S-,2.032364716
 Gallant, Absent,S-,2.867096944
 Hereward, Absent,S-,2.070520448
 Invicta, Absent,S-,2.332171948
 Oakley, Absent,S-,1.851507181
 Rialto, Absent,S-,1.942547003
 Robigus, Absent,S-,1.789614082
 Santiago, Absent,S-,1.733426352
 Savannah, Absent,S-,1.968358605
 Scout, Absent,S-,2.22065012
 Shamrock, Absent,S-,1.585341751
 Shango, Absent,S-,1.746301285
 Solstice, Absent,S-,2.863372139
 Spark, Absent,S-,2.049303542
 Tuxedo, Absent,S-,2.394082338
 Warrior, Absent,S-,2.209353635
 Avalon, Present,S-,2.725358557
 Badger, Present,S-,3.045301771
 Cadenza, Present,S-,2.518088294
 Malacca, Present,S-,2.830348928
 Torch, Present,S-,1.728925297
